number,value,datetime_start,datetime_complete,duration,params_penalty,state,Model_name,params_loss,params_class_weight,params_criterion,params_max_features,params_n_estimators,params_algorithm,params_boosting_type,params_learning_rate,params_n_jobs,params_max_iter,params_splitter,params_booster,params_tree_method,params_n_neighbors,params_weights
0,0.39239475034164834,2024-02-09 15:02:59.588310,2024-02-09 15:07:25.107698,0 days 00:04:25.519388,l2,PRUNED,Logistic_Regression,,,,,,,,,,,,,,,
1,0.38819535012565315,2024-02-09 15:07:25.117893,2024-02-09 15:11:36.513789,0 days 00:04:11.395896,,PRUNED,Logistic_Regression,,,,,,,,,,,,,,,
2,0.38819535012565315,2024-02-09 15:11:36.516799,2024-02-09 15:15:33.949712,0 days 00:03:57.432913,,PRUNED,Logistic_Regression,,,,,,,,,,,,,,,
0,0.5233128744399179,2024-02-09 15:15:35.546004,2024-02-09 15:19:42.553954,0 days 00:04:07.007950,,COMPLETE,SGD_Classifier,squared_error,,,,,,,,,,,,,,
1,0.4329885523495541,2024-02-09 15:19:42.555861,2024-02-09 15:25:30.204776,0 days 00:05:47.648915,,PRUNED,SGD_Classifier,perceptron,,,,,,,,,,,,,,
2,0.5028689440183193,2024-02-09 15:25:30.206792,2024-02-09 15:30:31.364109,0 days 00:05:01.157317,,COMPLETE,SGD_Classifier,epsilon_insensitive,,,,,,,,,,,,,,
0,0.9809998384476765,2024-02-09 15:30:35.747343,2024-02-09 15:52:48.591793,0 days 00:22:12.844450,,PRUNED,Random Forest,,balanced,entropy,,150.0,,,,,,,,,,
1,0.9802001184396975,2024-02-09 15:52:48.592809,2024-02-09 16:08:41.543692,0 days 00:15:52.950883,,PRUNED,Random Forest,,balanced_subsample,entropy,,104.0,,,,,,,,,,
2,0.9823332652397091,2024-02-09 16:08:41.547696,2024-02-09 16:14:09.020718,0 days 00:05:27.473022,,COMPLETE,Random Forest,,balanced,entropy,log2,107.0,,,,,,,,,,
0,0.9838499086897308,2024-02-09 16:14:12.302479,2024-02-09 16:21:45.954263,0 days 00:07:33.651784,,COMPLETE,Ada_Boost,,,,,108.0,SAMME,,,,,,,,,
1,0.9831997586077023,2024-02-09 16:21:45.956269,2024-02-09 16:31:10.527827,0 days 00:09:24.571558,,PRUNED,Ada_Boost,,,,,149.0,SAMME,,,,,,,,,
2,0.9847997987437326,2024-02-09 16:31:10.529823,2024-02-09 16:43:00.641016,0 days 00:11:50.111193,,PRUNED,Ada_Boost,,,,,104.0,SAMME.R,,,,,,,,,
0,0.9770005182636942,2024-02-09 16:43:05.087586,2024-02-09 16:55:30.070689,0 days 00:12:24.983103,,PRUNED,Grad_Boost,exponential,,friedman_mse,,118.0,,,,,,,,,,
1,0.9774007983517342,2024-02-09 16:55:30.079459,2024-02-09 16:59:27.244254,0 days 00:03:57.164795,,PRUNED,Grad_Boost,exponential,,friedman_mse,sqrt,137.0,,,,,,,,,,
2,0.9806666217776852,2024-02-09 16:59:27.245372,2024-02-09 17:13:47.010338,0 days 00:14:19.764966,,COMPLETE,Grad_Boost,log_loss,,friedman_mse,,128.0,,,,,,,,,,
0,0.986399838879763,2024-02-09 17:13:50.076477,2024-02-09 17:17:34.022003,0 days 00:03:43.945526,,PRUNED,Light_GBM,,balanced,,,147.0,,dart,0.5159595362851013,-1.0,,,,,,
1,0.9881332657038021,2024-02-09 17:17:34.025129,2024-02-09 17:21:51.788762,0 days 00:04:17.763633,,COMPLETE,Light_GBM,,balanced,,,139.0,,dart,0.811566840676244,-1.0,,,,,,
2,0.9871665522837811,2024-02-09 17:21:51.790736,2024-02-09 17:26:16.089575,0 days 00:04:24.298839,,COMPLETE,Light_GBM,,balanced,,,139.0,,gbdt,0.7111716854715022,-1.0,,,,,,
0,0.9794333050156676,2024-02-09 17:26:19.191501,2024-02-09 17:41:26.157862,0 days 00:15:06.966361,,COMPLETE,Bagging_Classifier,,,,,75.0,,,,-1.0,,,,,,
